region,locality,w_0_0.5,w_0.5_1.5,w_1.5_3,w_3_6,w_6_10,w_10_20,w_20_30,w_30_40,w_40_50,w_50_60,w_60_70,w_70_80,w_80_90,w_90_100,w_100_499_per_kg,w_499_1000_per_kg
Arica,ARICA,2852,3281,3711,5000,6718,12254,16550,31350,35646,39942,44238,49005,53342,57680,502,480
Arica,POCONCHILE,5704,6563,7422,10000,13436,24508,33100,62700,71292,79883,88475,98009,106684,115359,1003,960
Arica,SORA,5704,6563,7422,10000,13436,24508,33100,62700,71292,79883,88475,98009,106684,115359,1003,960
Arica,MOLINOS,5704,6563,7422,10000,13436,24508,33100,62700,71292,79883,88475,98009,106684,115359,1003,960
Arica,GENERAL LAGOS,17111,19689,22266,29999,40309,73525,99300,188100,213875,239650,265425,294027,320053,346078,3009,2879
Arica,CUYA,17111,19689,22266,29999,40309,73525,99300,188100,213875,239650,265425,294027,320053,346078,3009,2879
Arica,TIGNAMAR,17111,19689,22266,29999,40309,73525,99300,188100,213875,239650,265425,294027,320053,346078,3009,2879
Arica,SOCOROMA,17111,19689,22266,29999,40309,73525,99300,188100,213875,239650,265425,294027,320053,346078,3009,2879
Arica,PACHAMA,17111,19689,22266,29999,40309,73525,99300,188100,213875,239650,265425,294027,320053,346078,3009,2879
Arica,BELEN,17111,19689,22266,29999,40309,73525,99300,188100,213875,239650,265425,294027,320053,346078,3009,2879
Arica,ESQUINA,17111,19689,22266,29999,40309,73525,99300,188100,213875,239650,265425,294027,320053,346078,3009,2879
Arica,CAMARONES,17111,19689,22266,29999,40309,73525,99300,188100,213875,239650,265425,294027,320053,346078,3009,2879
Arica,COSAPILLA,17111,19689,22266,29999,40309,73525,99300,188100,213875,239650,265425,294027,320053,346078,3009,2879
Arica,CODPA,17111,19689,22266,29999,40309,73525,99300,188100,213875,239650,265425,294027,320053,346078,3009,2879
Arica,PUTRE,52852,53281,53711,55000,56718,62254,66550,81350,85646,89942,94238,99005,103342,107680,502,480
Arica,VISVIRI,52852,53281,53711,55000,56718,62254,66550,81350,85646,89942,94238,99005,103342,107680,502,480
Arica,CAQUENA,181423,181853,182282,183571,185290,190826,195121,209921,214217,218513,222809,227576,231914,236251,502,480
