locality,region,min_days,max_days
ANTOFAGASTA,II,2,2
LA NEGRA,II,3,4
MEJILLONES,II,3,4
BAQUEDANO,II,3,7
HORNITOS,II,3,7
ARICA,XV,3,3
BELEN,XV,4,7
CAMARONES,XV,4,7
CAQUENA,XV,4,7
CODPA,XV,4,7
COSAPILLA,XV,4,7
CUYA,XV,4,7
ESQUINA,XV,4,7
GENERAL LAGOS,XV,4,7
MOLINOS,XV,4,7
PACHAMA,XV,4,7
PoconChile,XV,4,7
Putre,XV,4,7
SOCOROMA,XV,4,7
SORA,XV,4,7
TIGNAMAR,XV,4,7
VISVIRI,XV,4,7
CALAMA,II,2,2
AIQUINA,II,3,7
CASPANA,II,3,7
LASANA,II,3,7
MARIA ELENA,II,3,4
QUILLAGUA,II,3,7
SIERRA GORDA,II,3,7
SOCAIRE,II,3,7
TOCONAO,II,3,7
SAN PEDRO DE ATACAMA,II,4,4
CALETA BUENA,II,4,7
COBIJA,II,4,7
TOCOPILLA,II,3,3
CHANARAL,III,2,3
EL SALVADOR,III,3,4
DIEGO DE ALMAGRO,III,4,4
CHILLAN,XVI,1,1
COIHUECO,XVI,2,3
EL CARMEN CHILLAN,XVI,2,3
BULNES,XVI,2,3
CABRERO,VIII,2,3
CACHAPOAL CHILLAN,XVI,2,7
CAMPANARIO,XVI,2,7
CHARRUA,XVI,2,7
CHECURA,XVI,2,7
CHOLGUAN,XVI,2,7
COELEMU,XVI,2,3
FILOMENA,XVI,2,7
FLORIDA,XVI,2,7
GUARILIHUE,XVI,2,7
LAS TRANCAS,XVI,2,7
LEONERA,XVI,2,7
LOS TILOS,XVI,2,7
MEIPO,XVI,2,7
MINAS DEL PRADO,XVI,2,7
MONTE AGUILA,XVI,2,7
NAHUELTORO,XVI,2,7
NINHUE,XVI,2,7
NIPAS,XVI,2,7
NIQUEN,XVI,2,7
PANGAL,XVI,2,7
PEMUCO,XVI,2,7
PERALES,XVI,2,7
PINTO,XVI,2,7
PORTEZUELO,XVI,2,7
PUEBLO SECO,XVI,2,7
QUILLON,XVI,2,3
QUINCHAMALI,XVI,2,7
QUIRIQUINA,XVI,2,7
RANGUELMO,XVI,2,7
RANQUIL,XVI,2,7
RUCAPEQUEN,XVI,2,7
SAN CARLOS,XVI,2,2
SAN FABIAN DE ALICO,XVI,2,7
SAN GREGORIO,XVI,2,7
SAN IGNACIO,XVI,2,7
SAN NICOLAS,XVI,2,7
SANTA CLARA,XVI,2,7
TANILVORO,XVI,2,7
TOROICO,XVI,2,7
TREGUALEMU,XVI,2,7
TREHUACO,XVI,2,7
VEGAS DE ITATA,XVI,2,7
YUNGAY,XVI,2,3
ZEMITA,XVI,2,7
CARAMPANGUE,VIII,3,7
LARAQUETE,VIII,3,7
LOS HORCONES,VIII,3,7
PUNTA LAVAPIE,VIII,3,7
RAMADILLAS,VIII,3,7
TUBUL,VIII,3,7
ARAUCO,VIII,2,3
CANETE,VIII,2,3
CONCEPCION,VIII,1,1
HUALPEN,VIII,2,2
SAN PEDRO DE LA PAZ,VIII,1,1
COLCURA,VIII,2,7
COPIULEMU,VIII,2,7
ISLA SANTA MARIA,VIII,3,4
SANTA JUANA,VIII,2,7
CHIGUAYANTE,VIII,1,1
COLIUMO,VIII,2,7
CORONEL,VIII,2,3
DICHATO,VIII,2,7
HUALPENCILLO,VIII,2,2
HUALQUI,VIII,2,3
LIRQUEN,VIII,2,3
LOTA,VIII,2,3
PENCO,VIII,2,3
PINGUERAL,VIII,2,7
PUNTA DE PARRA,VIII,2,7
RAFAEL,VIII,2,7
TALCAHUANO,VIII,1,1
TOME,VIII,2,3
VILLUCO,VIII,2,3
CURANILAHUE,VIII,2,3
LEBU,VIII,2,3
ANTIHUALA,VIII,3,7
CERRO ALTO,VIII,3,7
LA ARAUCANA,VIII,3,7
LOS ALAMOS,VIII,2,3
QUILLAITUN,VIII,3,7
TRES PINOS,VIII,3,7
VILLA LOS RIOS,VIII,3,7
COPIAPO,III,1,1
BAHIA INGLESA,III,2,4
CALDERA,III,2,3
PAIPOTE,III,2,2
TIERRA AMARILLA,III,2,3
COQUIMBO,IV,1,1
LA SERENA,IV,1,1
ALGARROBITO,IV,2,7
ALTOVALSOL,IV,2,7
ANDACOLLO,IV,2,4
EL HINOJAL,IV,2,7
EL MOLLE,IV,2,7
EL PENON,IV,2,7
EL TAMBO,IV,2,7
EL TANGUE,IV,2,7
GABRIELA MISTRAL,IV,2,7
GUANAQUEROS,IV,2,7
HORCON IV,IV,2,7
LA HIGUERA,IV,2,7
LA MARQUESA,IV,2,7
LAS CARDAS,IV,2,7
LAS DUNAS,IV,2,7
LAS TACAS,IV,2,7
LLANOS DE GUANTA,IV,2,7
LOS HORNOS,IV,2,7
MONTE GRANDE,IV,2,7
PAIHUANO,IV,2,7
PAN DE AZUCAR,IV,2,7
PISCO ELQUI,IV,2,7
PUERTO ALDEA,IV,2,7
PUERTO VELERO,IV,2,7
PUNTA COLORADA,IV,2,7
QUEBRADA DE TALCA,IV,2,7
TAMBILLO,IV,2,7
TIERRAS BLANCAS,IV,2,2
TONGOY,IV,2,7
TOTORALILLO,IV,2,7
VICUNA,IV,2,2
GUAITECAS,XI,11,15
PUERTO AGUIRRE,XI,11,17
PUERTO AYSEN,XI,9,13
VILLA OHIGGINS,XI,11,19
BAHIA MURTA,XI,11,15
BALMACEDA,XI,11,17
CALETA ANDRADE,XI,11,15
CHILE CHICO,XI,11,15
COCHRANE,XI,11,15
COYHAIQUE,XI,8,10
GUADAL,XI,11,15
LA JUNTA,XI,11,15
LA TAPERA,XI,11,17
LAGO VERDE,XI,11,17
MELINKA,XI,11,17
NIREHUAO,XI,11,15
PUERTO BERTRAND,XI,11,17
PUERTO CHACABUCO,XI,9,17
PUERTO CISNES,XI,11,15
PUERTO TRANQUILO,XI,11,15
PUYUHUAPI,XI,11,15
RIO IBANEZ,XI,11,15
TORTEL,XI,11,15
VALLE SIMPSON,XI,9,15
VILLA AMENGUAL,XI,11,15
VILLA CERRO CASTILLO,XI,11,17
VILLA MANIHUALES,XI,11,15
VILLA ORTEGA,XI,11,15
CURICO,VII,1,1
HUALANE,VII,2,5
ILOCA,VII,2,7
LICANTEN,VII,2,4
LLICO,VII,2,4
LO VALDIVIA,VII,2,4
LONTUE,VII,2,4
LOS NICHES,VII,2,4
MOLINA,VII,2,2
RAUCO,VII,2,3
RAUQUEN,VII,2,3
ROMERAL,VII,2,3
SAGRADA FAMILIA,VII,2,3
TENO,VII,2,2
VICHUQUEN,VII,2,4
VILLA PRAT,VII,2,7
VALPARAISO,V,1,1
VINA DEL MAR,V,1,1
CASABLANCA,V,2,2
COLLIGUAY,V,2,7
CONCON,V,1,1
CURAUMA,V,1,1
LA RETUCA,V,2,7
LAGUNA VERDE,V,2,4
LAGUNILLAS,V,2,3
LAS DICHAS,V,2,3
PLACILLA (VINA DEL MAR),V,2,2
PLAYA ANCHA,V,2,2
QUINTAY,V,2,4
QUINTERO,V,2,3
RENACA,V,1,1
TUNQUEN,V,2,7
QUILPUE,V,1,1
IQUIQUE,I,2,2
ALTO HOSPICIO,I,2,3
ANCUAQUE,I,3,7
CAMINA,I,3,7
CANCOSA,I,3,7
CARIQUIMA,I,3,7
COLCHANE,I,3,7
COLLACAGUA,I,3,7
HUARA,I,3,7
ISLUGA,I,3,7
La Hauyca,I,3,7
La Tirana,I,3,7
LIRIMA,I,3,7
MAMINA,I,3,7
MOCHA,I,3,7
PICA,I,3,7
POZO ALMONTE,I,3,4
SOTOCA,I,3,7
LA CALERA,V,1,1
QUILLOTA,V,1,1
ARTIFICIO,V,2,4
BOCO DE QUILLOTA,V,2,2
CACHAGUA,V,2,4
CATAPILCO,V,2,4
EL MANZANAR,V,2,7
EL MELON,V,2,2
HIJUELAS,V,2,2
HORCON,V,2,3
LA CRUZ,V,2,2
LA PALMA DE QUILLOTA,V,2,2
LAS VENTANAS,V,2,3
MAITENCILLO,V,2,4
MARBELLA,V,2,4
NOGALES,V,2,2
OCOA,V,2,4
PAPUDO,V,2,4
PUCHUNCAVI,V,2,3
SAN ISIDRO DE QUILLOTA,V,2,4
SAN PEDRO DE QUILLOTA,V,2,4
SECTOR LA PENA,V,2,7
ZAPALLAR,V,2,4
ALICAHUE,V,2,3
CABILDO,V,2,3
LA LIGUA,V,1,1
PETORCA,V,2,4
COLLIPULLI,IX,2,3
CURACAUTIN,IX,3,3
MALALCAHUELLO,IX,3,7
VICTORIA,IX,3,3
LONQUIMAY,IX,3,4
LOS ANGELES,VIII,1,1
COIHUE,VIII,2,7
CONTULMO,VIII,2,4
GALVARINO,IX,2,4
LOS SAUCES,IX,2,7
PUREN,IX,2,4
QUILACO,VIII,2,7
RENAICO,IX,2,7
RIHUE,VIII,2,7
SAN ROSENDO,VIII,2,7
TRUPAN,VIII,2,7
ALTO BIO BIO,VIII,2,7
ANGOL,IX,2,3
ANTUCO,VIII,2,7
HUEPIL,VIII,2,7
LAJA,VIII,2,3
MULCHEN,VIII,2,3
NACIMIENTO,VIII,2,3
NEGRETE,VIII,2,7
POLCURA,VIII,2,7
QUILLECO,VIII,2,7
SANTA BARBARA,VIII,2,3
TUCAPEL,VIII,2,7
VILLA MERCEDES,VIII,2,7
YUMBEL,VIII,2,3
CAIMANES,IV,2,5
CANELA,IV,2,4
CHILLEPIN,IV,2,7
CUNCUMEN,IV,2,7
GUANGUALI,IV,2,2
HUENTELAUQUEN,IV,2,4
HUINTIL,IV,2,7
ILLAPEL,IV,2,2
LA JARILLA,IV,2,7
LOS MOLLES,V,2,4
LOS VILOS,IV,1,1
MINCHA,IV,2,7
PALQUIAL,IV,2,7
PICHICUY,V,2,7
PICHIDANGUI,IV,2,4
QUELON,IV,2,7
QUILIMARI,IV,2,4
SALAMANCA,IV,2,2
OSORNO,X,1,1
BAHIA MANSA,X,2,7
ENTRE LAGOS,X,2,7
MAICOLPUE,X,2,7
PUAUCHO,X,2,7
PUCATRIHUE,X,2,7
PUERTO OCTAY,X,2,7
PUYEHUE,X,2,7
